46.90%	46.90%	53.50%	50.20%
59.40%	59.40%	56.00%	57.70%
41.30%	41.30%	47.50%	44.40%
41.30%	41.30%	50.50%	45.90%
51.10%	51.10%	52.70%	51.90%
48.90%	48.90%	54.60%	51.80%
68.00%	68.00%	56.60%	62.30%
57.20%	57.20%	53.40%	55.30%
32.60%	32.60%	52.20%	42.40%
55.90%	55.90%	54.10%	55.00%
46.60%	46.60%	51.20%	48.90%
56.60%	56.60%	55.80%	56.20%
37.40%	37.40%	52.60%	45.00%
55.30%	55.30%	54.40%	54.90%
49.20%	49.20%	50.90%	50.10%
58.70%	58.70%	55.80%	57.30%
46.10%	46.10%	49.30%	47.70%
70.20%	70.20%	55.90%	63.00%
59.20%	59.20%	54.30%	56.70%
48.20%	48.20%	49.90%	49.00%
62.10%	62.10%	58.20%	60.10%
58.60%	58.60%	47.30%	52.90%
59.30%	59.30%	55.00%	57.10%
59.60%	59.60%	47.80%	53.70%
44.50%	44.50%	52.20%	48.30%
50.00%	50.00%	54.60%	52.30%
55.20%	55.20%	53.90%	54.60%
47.80%	47.80%	52.40%	50.10%
54.70%	54.70%	55.40%	55.00%
52.40%	52.40%	53.60%	53.00%
66.80%	66.80%	50.00%	58.40%
58.10%	58.10%	51.70%	54.90%
69.00%	69.00%	55.60%	62.30%
51.90%	51.90%	51.50%	51.70%
62.50%	62.50%	45.70%	54.10%
47.90%	47.90%	55.50%	51.70%
62.40%	62.40%	49.10%	55.70%
28.00%	28.00%	47.10%	37.50%
52.80%	52.80%	50.00%	51.40%
45.10%	45.10%	49.70%	47.40%
44.30%	44.30%	50.40%	47.40%
61.10%	61.10%	49.70%	55.40%
47.80%	47.80%	51.40%	49.60%
54.70%	54.70%	53.30%	54.00%
29.40%	29.40%	47.60%	38.50%
43.70%	43.70%	51.30%	47.50%
42.90%	42.90%	52.60%	47.70%
49.10%	49.10%	52.70%	50.90%
50.40%	50.40%	54.50%	52.40%
42.00%	42.00%	49.60%	45.80%
46.30%	46.30%	50.00%	48.10%
45.50%	45.50%	51.20%	48.30%
56.60%	56.60%	52.80%	54.70%
57.90%	57.90%	55.10%	56.50%
49.70%	49.70%	50.30%	50.00%
47.40%	47.40%	49.00%	48.20%
49.60%	49.60%	51.30%	50.50%
44.10%	44.10%	50.20%	47.10%
63.30%	63.30%	53.50%	58.40%
31.00%	31.00%	48.20%	39.60%
51.60%	51.60%	48.30%	49.90%
44.50%	44.50%	55.70%	50.10%
49.10%	49.10%	49.70%	49.40%
58.40%	58.40%	49.10%	53.70%
42.80%	42.80%	49.00%	45.90%
54.70%	54.70%	54.30%	54.50%
56.10%	56.10%	52.20%	54.10%
56.00%	56.00%	51.70%	53.80%
48.10%	48.10%	53.30%	50.70%
49.60%	49.60%	46.30%	47.90%
55.00%	55.00%	54.10%	54.50%
47.00%	47.00%	53.10%	50.00%
48.10%	48.10%	48.70%	48.40%
52.40%	52.40%	54.00%	53.20%
52.40%	52.40%	50.60%	51.50%
52.60%	52.60%	52.70%	52.70%
49.40%	49.40%	51.10%	50.20%
62.50%	62.50%	52.20%	57.30%
55.90%	55.90%	52.50%	54.20%
48.80%	48.80%	47.50%	48.10%
54.20%	54.20%	52.90%	53.50%
51.50%	51.50%	49.20%	50.30%
66.90%	66.90%	54.60%	60.80%
66.80%	66.80%	53.00%	59.90%
36.80%	36.80%	50.50%	43.70%
47.70%	47.70%	48.90%	48.30%
37.60%	37.60%	51.80%	44.70%
47.80%	47.80%	49.50%	48.60%
39.50%	39.50%	58.70%	49.10%
49.00%	49.00%	49.10%	49.00%
47.70%	47.70%	48.80%	48.20%
60.10%	60.10%	50.20%	55.20%
46.50%	46.50%	54.20%	50.30%
43.20%	43.20%	49.80%	46.50%
64.50%	64.50%	51.10%	57.80%
35.00%	35.00%	50.70%	42.90%
35.70%	35.70%	52.40%	44.00%
59.00%	59.00%	55.70%	57.30%
52.40%	52.40%	53.60%	53.00%
52.90%	52.90%	55.00%	54.00%
34.90%	34.90%	48.50%	41.70%
49.00%	49.00%	52.10%	50.60%
41.10%	41.10%	47.20%	44.20%
51.70%	51.70%	47.80%	49.70%
53.60%	53.60%	52.70%	53.10%
53.70%	53.70%	54.40%	54.10%
47.70%	47.70%	50.90%	49.30%
52.70%	52.70%	53.40%	53.10%
44.30%	44.30%	47.50%	45.90%
37.00%	37.00%	55.10%	46.10%
49.10%	49.10%	51.30%	50.20%
58.80%	58.80%	54.40%	56.60%
51.60%	51.60%	54.70%	53.20%
56.10%	56.10%	56.80%	56.40%
44.20%	44.20%	52.40%	48.30%
39.00%	39.00%	49.70%	44.40%
53.90%	53.90%	55.50%	54.70%
40.70%	40.70%	50.40%	45.50%
44.30%	44.30%	49.40%	46.80%
50.00%	50.00%	55.20%	52.60%
41.70%	41.70%	55.40%	48.60%
48.60%	48.60%	51.80%	50.20%
49.40%	49.40%	51.00%	50.20%
60.50%	60.50%	55.10%	57.80%
40.20%	40.20%	54.40%	47.30%
54.20%	54.20%	54.90%	54.60%
55.30%	55.30%	52.00%	53.60%
48.80%	48.80%	53.50%	51.20%
56.40%	56.40%	55.10%	55.80%
46.10%	46.10%	48.30%	47.20%
54.70%	54.70%	55.80%	55.30%
53.40%	53.40%	52.10%	52.80%
56.10%	56.10%	54.20%	55.10%
43.60%	43.60%	50.70%	47.20%
45.30%	45.30%	52.00%	48.60%
54.40%	54.40%	55.50%	54.90%
55.00%	55.00%	54.60%	54.80%
