Date	Start Time (Sask)	Start Time (EDT)	Away	Away Score	Home	Home Score
2025-03-18	4:10 AM	6:10 AM	Los Angeles Dodgers	4	Chicago Cubs	1
2025-03-19	4:10 AM	6:10 AM	Los Angeles Dodgers	6	Chicago Cubs	3
2025-03-27	1:05 PM	3:05 PM	Milwaukee Brewers	2	New York Yankees	4
2025-03-27	1:07 PM	3:07 PM	Baltimore Orioles	12	Toronto Blue Jays	2
2025-03-27	2:05 PM	4:05 PM	Boston Red Sox	5	Texas Rangers	2
2025-03-27	2:05 PM	4:05 PM	Philadelphia Phillies	7	Washington Nationals	3
2025-03-27	2:10 PM	4:10 PM	Cleveland Guardians	7	Kansas City Royals	4
2025-03-27	2:10 PM	4:10 PM	New York Mets	1	Houston Astros	3
2025-03-27	2:10 PM	4:10 PM	San Francisco Giants	6	Cincinnati Reds	4
2025-03-27	2:10 PM	4:10 PM	Atlanta Braves	4	San Diego Padres	7
2025-03-27	2:10 PM	4:10 PM	Los Angeles Angels	1	Chicago White Sox	8
2025-03-27	2:10 PM	4:10 PM	Pittsburgh Pirates	4	Miami Marlins	5
2025-03-27	2:15 PM	4:15 PM	Minnesota Twins	3	St. Louis Cardinals	5
2025-03-27	5:10 PM	7:10 PM	Detroit Tigers	4	Los Angeles Dodgers	5
2025-03-27	8:10 PM	10:10 PM	Chicago Cubs	10	Arizona Diamondbacks	6
2025-03-27	8:10 PM	10:10 PM	Athletics	2	Seattle Mariners	4
2025-03-28	2:10 PM	4:10 PM	Colorado Rockies	2	Tampa Bay Rays	3
2025-03-28	5:07 PM	7:07 PM	Baltimore Orioles	2	Toronto Blue Jays	8
2025-03-28	5:10 PM	7:10 PM	Pittsburgh Pirates	4	Miami Marlins	3
2025-03-28	6:05 PM	8:05 PM	Boston Red Sox	1	Texas Rangers	4
2025-03-28	6:10 PM	8:10 PM	New York Mets	3	Houston Astros	1
2025-03-28	7:40 PM	9:40 PM	Chicago Cubs	1	Arizona Diamondbacks	8
2025-03-28	7:40 PM	9:40 PM	Athletics	7	Seattle Mariners	0
