Date	Start Time (Sask)	Start Time (ET)	Visitor	Score	Home	Score	XGB% (Home Win)	Catboost	Elo% (Home Win)	Meta % Home Win	XGB 	Catboost	Elo	Meta
10/07/2025	3:00 PM	5:00 PM	Chicago Blackhawks	2	Florida Panthers	3	76.20%	80.10%	78.50%	78.50%	Correct	Correct	Correct	Correct
10/07/2025	6:00 PM	8:00 PM	Pittsburgh Penguins	3	New York Rangers	0	59.60%	62.50%	61.40%	61.40%	Incorrect	Incorrect	Incorrect	Incorrect
10/07/2025	8:30 PM	10:30 PM	Colorado Avalanche	4	Los Angeles Kings	1	40.30%	42.40%	41.60%	41.60%	Correct	Correct	Correct	Correct
10/08/2025	5:00 PM	7:00 PM	Montreal Canadiens	2	Toronto Maple Leafs	5	57.00%	59.80%	58.70%	58.70%	Correct	Correct	Correct	Correct
10/08/2025	5:30 PM	7:30 PM	Boston Bruins	3	Washington Capitals	1	72.00%	75.60%	74.20%	74.20%	Incorrect	Incorrect	Incorrect	Incorrect
10/08/2025	8:00 PM	10:00 PM	Calgary Flames	4	Edmonton Oilers	3	52.20%	54.80%	53.80%	53.80%	Incorrect	Incorrect	Incorrect	Incorrect
10/08/2025	8:00 PM	10:00 PM	Los Angeles Kings	6	Vegas Golden Knights	5	61.20%	64.20%	63.00%	63.00%	Incorrect	Incorrect	Incorrect	Incorrect
10/09/2025	5:00 PM	7:00 PM	Chicago Blackhawks	3	Boston Bruins	4	56.00%	58.80%	57.70%	57.70%	Correct	Correct	Correct	Correct
10/09/2025	5:00 PM	7:00 PM	New York Rangers	4	Buffalo Sabres	0	52.00%	54.60%	53.50%	53.50%	Incorrect	Incorrect	Incorrect	Incorrect
10/09/2025	5:00 PM	7:00 PM	Montreal Canadiens	5	Detroit Red Wings	1	57.00%	59.90%	58.70%	58.70%	Incorrect	Incorrect	Incorrect	Incorrect
10/09/2025	5:00 PM	7:00 PM	Ottawa Senators	5	Tampa Bay Lightning	4	57.30%	60.20%	59.00%	59.00%	Incorrect	Incorrect	Incorrect	Incorrect
10/09/2025	5:00 PM	7:00 PM	Philadelphia Flyers	1	Florida Panthers	2	66.80%	70.10%	68.80%	68.80%	Correct	Correct	Correct	Correct
10/09/2025	5:00 PM	7:00 PM	New York Islanders	3	Pittsburgh Penguins	4	38.60%	40.50%	39.80%	39.80%	Incorrect	Incorrect	Incorrect	Incorrect
10/09/2025	5:00 PM	7:00 PM	New Jersey Devils	3	Carolina Hurricanes	6	64.50%	67.70%	66.50%	66.50%	Correct	Correct	Correct	Correct
10/09/2025	6:00 PM	8:00 PM	Minnesota Wild	5	St. Louis Blues	0	59.70%	62.70%	61.50%	61.50%	Incorrect	Incorrect	Incorrect	Incorrect
10/09/2025	6:00 PM	8:00 PM	Columbus Blue Jackets	1	Nashville Predators	2	28.50%	29.90%	29.30%	29.30%	Incorrect	Incorrect	Incorrect	Incorrect
10/09/2025	6:00 PM	8:00 PM	Dallas Stars	5	Winnipeg Jets	4	53.90%	56.50%	55.50%	55.50%	Incorrect	Incorrect	Incorrect	Incorrect
10/09/2025	7:00 PM	9:00 PM	Utah Mammoth	1	Colorado Avalanche	2	58.70%	61.60%	60.40%	60.40%	Correct	Correct	Correct	Correct
10/09/2025	8:00 PM	10:00 PM	Calgary Flames	1	Vancouver Canucks	5	47.60%	50.00%	49.10%	49.10%	Incorrect	Incorrect	Incorrect	Incorrect
10/09/2025	8:00 PM	10:00 PM	Vegas Golden Knights	4	San Jose Sharks	3	17.00%	17.90%	17.60%	17.60%	Correct	Correct	Correct	Correct
10/09/2025	8:00 PM	10:00 PM	Anaheim Ducks	1	Seattle Kraken	3	45.50%	47.80%	46.90%	46.90%	Incorrect	Incorrect	Incorrect	Incorrect
10/11/2025	11:30 AM	1:30 PM	Los Angeles Kings	2	Winnipeg Jets	3	73.70%	77.40%	76.00%	76.00%	Correct	Correct	Correct	Correct
2025-10-11	2:00 PM	4:00 PM	St. Louis Blues	4	Calgary Flames	2	40.60%	42.70%	41.90%	41.90%	Correct	Correct	Correct	Correct
2025-10-11	5:00 PM	7:00 PM	Buffalo Sabres	1	Boston Bruins	3	32.60%	34.30%	33.60%	33.60%	Incorrect	Incorrect	Incorrect	Incorrect
2025-10-11	5:00 PM	7:00 PM	Toronto Maple Leafs	3	Detroit Red Wings	6	50.10%	52.60%	51.60%	51.60%	Correct	Correct	Correct	Correct
