iter	RMSE
0	2.472471205
1	2.464810262
2	2.459532421
3	2.454029581
4	2.449079618
5	2.442224863
6	2.434017528
7	2.425384859
8	2.418376155
9	2.415648367
10	2.408549413
11	2.402482941
12	2.395588198
13	2.387932979
14	2.381416361
15	2.371953283
16	2.363504506
17	2.355630433
18	2.353826825
19	2.349378126
20	2.344058827
21	2.341045143
22	2.335386806
23	2.327968649
24	2.320605796
25	2.314845675
26	2.310449384
27	2.306782805
28	2.304914804
29	2.301410189
30	2.29644537
31	2.292988868
32	2.284330604
33	2.278052474
34	2.268923198
35	2.264682933
36	2.255930403
37	2.251268829
38	2.243684425
39	2.237695842
40	2.234486776
41	2.227119559
42	2.222614278
43	2.216569857
44	2.211583442
45	2.207375077
46	2.197473581
47	2.190984118
48	2.183060417
49	2.177672262
50	2.172615912
51	2.168326219
52	2.162051331
53	2.158501162
54	2.153609218
55	2.145507524
56	2.139072871
57	2.132523364
58	2.129489889
59	2.119403464
60	2.1107943
61	2.107165665
62	2.104462972
63	2.101136741
64	2.094679827
65	2.093241138
66	2.086851362
67	2.084347653
68	2.081100686
69	2.07542225
70	2.072411741
71	2.069418383
72	2.066667098
73	2.060604316
74	2.054444517
75	2.049526903
76	2.042850537
77	2.037499148
78	2.029849421
79	2.027648973
80	2.023938129
81	2.021870572
82	2.019637871
83	2.016801905
84	2.014577068
85	2.011375239
86	2.005573393
87	2.001577106
88	1.998476613
89	1.993715931
90	1.990135429
91	1.98251758
92	1.97683968
93	1.972020571
94	1.967378874
95	1.960561865
96	1.953423064
97	1.944690234
98	1.941374077
99	1.937569414
