iter	Passed	Remaining
0	46	9269
1	47	4707
2	48	3182
3	49	2414
4	50	1957
5	51	1649
6	51	1424
7	52	1254
8	53	1127
9	53	1020
10	54	933
11	55	862
12	55	800
13	56	747
14	57	703
15	57	663
16	58	627
17	58	595
18	59	568
19	60	544
20	61	523
21	62	503
22	62	483
23	63	466
24	64	451
25	65	437
26	66	425
27	67	412
28	67	400
29	68	389
30	69	379
31	70	370
32	71	361
33	74	361
34	75	353
35	75	346
36	77	341
37	79	338
38	80	333
39	91	365
40	92	360
41	94	353
42	95	347
43	96	340
44	97	334
45	98	328
46	99	322
47	100	317
48	100	310
49	101	305
50	103	301
51	104	297
52	108	301
53	111	302
54	118	313
55	126	324
56	127	320
57	129	316
58	132	316
59	134	313
60	135	308
61	137	306
62	138	300
63	139	295
64	140	291
65	141	286
66	141	281
67	142	276
68	142	271
69	143	266
70	152	276
71	156	277
72	157	274
73	158	270
74	159	266
75	160	262
76	163	261
77	164	257
78	166	254
79	168	252
80	169	249
81	171	246
82	172	242
83	173	238
84	173	235
85	174	231
86	175	227
87	176	224
88	176	220
89	178	217
90	178	214
91	179	210
92	180	207
93	181	204
94	181	200
95	183	198
96	184	195
97	185	192
98	186	190
99	187	187
100	188	184
101	189	181
102	189	178
103	190	176
104	191	173
105	192	170
106	193	167
107	194	165
108	195	163
109	196	160
110	197	158
111	198	155
112	199	153
113	199	150
114	200	148
115	201	146
116	202	143
117	203	141
118	204	139
119	206	137
120	207	135
121	209	133
122	210	131
123	210	129
124	211	127
125	212	124
126	213	122
127	214	120
128	215	118
129	216	116
130	217	114
131	218	112
132	219	110
133	220	108
134	221	106
135	221	104
136	222	102
137	223	100
138	224	98
139	225	96
140	226	94
141	227	92
142	228	91
143	229	89
144	229	87
145	230	85
146	231	83
147	232	81
148	233	79
149	234	78
150	236	76
151	239	75
152	239	73
153	241	72
154	242	70
155	243	68
156	244	67
157	245	65
158	246	63
159	247	61
160	248	60
161	249	58
162	250	56
163	251	55
164	252	53
165	253	51
166	254	50
167	256	48
168	258	47
169	260	46
170	261	44
171	262	42
172	264	41
173	266	39
174	267	38
175	270	36
176	271	35
177	273	33
178	276	32
179	278	30
180	279	29
181	279	27
182	280	26
183	281	24
184	293	23
185	294	22
186	299	20
187	302	19
188	303	17
189	304	16
190	305	14
191	306	12
192	307	11
193	308	9
194	311	7
195	312	6
196	313	4
197	314	3
198	316	1
199	323	0
