team_name,ats_wins,ats_losses,ats_pushes
Denver Nuggets,9,3,0
Philadelphia 76ers,9,3,0
LA Lakers,10,4,0
Detroit Pistons,9,4,0
New York Knicks,8,4,0
Houston Rockets,8,4,0
Chicago Bulls,8,4,0
Phoenix Suns,9,5,0
Miami Heat,8,5,0
Utah Jazz,8,5,0
Golden State Warriors,9,6,0
Oklahoma City Thunder,8,6,0
Atlanta Hawks,8,6,0
Toronto Raptors,7,6,0
Milwaukee Bucks,7,7,0
Brooklyn Nets,6,6,1
Portland Trail Blazers,6,7,0
Charlotte Hornets,6,7,0
San Antonio Spurs,5,6,2
Orlando Magic,6,8,0
Dallas Mavericks,6,8,0
New Orleans Pelicans,5,7,1
Minnesota Timberwolves,5,8,0
Indiana Pacers,5,8,0
Boston Celtics,5,9,0
Sacramento Kings,4,10,0
Cleveland Cavaliers,4,10,0
Memphis Grizzlies,4,10,0
LA Clippers,3,10,0
Washington Wizards,2,11,0
