team_name,ml_wins,ml_losses,ats_wins,ats_losses,over_wins,under_wins
Philadelphia 76ers,7,5,10,2,7,5
LA Lakers,10,4,10,4,10,4
Denver Nuggets,10,2,9,3,6,6
Phoenix Suns,8,5,9,4,6,7
Detroit Pistons,11,2,9,4,6,7
Houston Rockets,8,3,8,3,9,2
New York Knicks,8,4,8,4,9,3
Miami Heat,7,6,8,5,9,4
Oklahoma City Thunder,13,1,8,6,7,7
Golden State Warriors,8,6,8,6,9,5
Chicago Bulls,6,5,7,4,7,4
Utah Jazz,4,8,7,5,6,6
Atlanta Hawks,8,5,7,6,7,6
Toronto Raptors,8,5,7,6,7,6
Milwaukee Bucks,8,6,7,7,8,6
Portland Trail Blazers,6,6,6,6,9,3
San Antonio Spurs,8,4,6,6,7,5
Charlotte Hornets,4,9,6,7,6,7
Brooklyn Nets,1,11,5,7,7,5
New Orleans Pelicans,2,10,5,7,6,6
Indiana Pacers,1,12,5,8,4,9
Minnesota Timberwolves,8,5,5,8,8,5
Boston Celtics,6,7,5,8,5,8
Orlando Magic,7,6,5,8,6,7
Dallas Mavericks,3,10,5,8,5,8
Sacramento Kings,3,10,4,9,8,5
Cleveland Cavaliers,9,5,4,10,8,6
Memphis Grizzlies,4,10,4,10,5,9
Washington Wizards,1,11,2,10,8,4
LA Clippers,4,8,2,10,7,5
