team_name,wins,losses
Detroit Pistons,11,2
New York Knicks,8,4
Cleveland Cavaliers,9,5
Atlanta Hawks,9,5
Toronto Raptors,8,5
Philadelphia 76ers,7,5
Milwaukee Bucks,8,6
Miami Heat,7,6
Orlando Magic,7,7
Boston Celtics,7,7
Chicago Bulls,6,6
Charlotte Hornets,4,9
Brooklyn Nets,2,11
Indiana Pacers,1,12
Washington Wizards,1,12
Oklahoma City Thunder,13,1
Denver Nuggets,10,2
Houston Rockets,9,3
LA Lakers,10,4
San Antonio Spurs,9,4
Minnesota Timberwolves,8,5
Golden State Warriors,9,6
Phoenix Suns,8,6
Portland Trail Blazers,6,7
Utah Jazz,5,8
LA Clippers,4,9
Memphis Grizzlies,4,10
Dallas Mavericks,4,10
Sacramento Kings,3,11
New Orleans Pelicans,2,11
