team_name,vs_above_wins,vs_above_losses,vs_below_wins,vs_below_losses
Oklahoma City Thunder,4,0,9,1
Detroit Pistons,6,2,5,0
Denver Nuggets,5,1,5,1
Houston Rockets,4,3,5,0
LA Lakers,5,3,5,1
San Antonio Spurs,4,4,5,0
New York Knicks,5,4,3,0
Cleveland Cavaliers,6,5,3,0
Atlanta Hawks,4,5,5,0
Toronto Raptors,5,4,3,1
Minnesota Timberwolves,0,5,8,0
Golden State Warriors,5,3,4,3
Philadelphia 76ers,4,5,3,0
Milwaukee Bucks,4,4,4,2
Phoenix Suns,1,3,7,3
Miami Heat,2,6,5,0
Orlando Magic,3,7,4,0
Boston Celtics,3,6,4,1
Chicago Bulls,5,5,1,1
Portland Trail Blazers,4,5,2,2
Utah Jazz,3,5,2,3
LA Clippers,1,8,3,1
Charlotte Hornets,1,8,3,1
Memphis Grizzlies,1,10,3,0
Dallas Mavericks,1,6,3,4
Sacramento Kings,2,11,1,0
Brooklyn Nets,0,10,2,1
New Orleans Pelicans,0,8,2,3
Indiana Pacers,1,8,0,4
Washington Wizards,0,9,1,3
