team_name,ml_wins,ml_losses,ats_wins,ats_losses,over_wins,under_wins
Seattle Seahawks,7,3,9,1,6,4
Detroit Lions,7,3,7,3,6,4
Los Angeles Rams,8,2,7,3,4,6
Carolina Panthers,6,5,7,4,6,5
New England Patriots,9,2,7,4,6,5
Philadelphia Eagles,7,2,6,3,5,4
Chicago Bears,7,3,6,4,5,5
New York Jets,2,8,6,4,6,4
Indianapolis Colts,8,2,6,4,6,4
Miami Dolphins,4,7,6,5,6,5
San Francisco 49ers,7,4,6,5,7,4
Pittsburgh Steelers,6,4,5,5,5,5
Kansas City Chiefs,5,5,5,5,3,7
Buffalo Bills,7,3,5,5,5,5
New York Giants,2,9,5,5,6,5
Atlanta Falcons,3,7,5,5,4,6
Jacksonville Jaguars,6,4,5,5,5,5
Arizona Cardinals,3,7,5,5,5,5
Denver Broncos,9,2,5,6,3,8
Los Angeles Chargers,7,5,5,7,6,6
Dallas Cowboys,3,5,4,5,6,3
Las Vegas Raiders,2,7,4,5,3,6
Minnesota Vikings,4,6,4,6,7,3
Baltimore Ravens,5,5,4,6,7,3
Tampa Bay Buccaneers,6,4,4,6,6,4
Cleveland Browns,2,8,4,6,6,4
Houston Texans,5,5,4,6,3,7
Tennessee Titans,1,9,4,6,5,5
Green Bay Packers,6,3,3,6,5,5
New Orleans Saints,2,8,3,7,3,7
Cincinnati Bengals,3,7,3,7,7,3
Washington Commanders,3,8,3,8,5,6
