match_id,date,time,visitor,home
1,2025-10-07,5:00 PM,Chicago Blackhawks,Florida Panthers
2,2025-10-07,10:30 PM,Colorado Avalanche,Los Angeles Kings
3,2025-10-07,8:00 PM,Pittsburgh Penguins,New York Rangers
4,2025-10-08,10:00 PM,Calgary Flames,Edmonton Oilers
5,2025-10-08,7:00 PM,Montreal Canadiens,Toronto Maple Leafs
6,2025-10-08,10:00 PM,Los Angeles Kings,Vegas Golden Knights
7,2025-10-08,7:30 PM,Boston Bruins,Washington Capitals
8,2025-10-09,7:00 PM,Chicago Blackhawks,Boston Bruins
9,2025-10-09,7:00 PM,New York Rangers,Buffalo Sabres
10,2025-10-09,7:30 PM,New Jersey Devils,Carolina Hurricanes
11,2025-10-09,9:00 PM,Utah Mammoth,Colorado Avalanche
12,2025-10-09,7:00 PM,Montreal Canadiens,Detroit Red Wings
13,2025-10-09,7:00 PM,Philadelphia Flyers,Florida Panthers
14,2025-10-09,8:00 PM,Columbus Blue Jackets,Nashville Predators
15,2025-10-09,7:00 PM,New York Islanders,Pittsburgh Penguins
16,2025-10-09,10:00 PM,Anaheim Ducks,Seattle Kraken
17,2025-10-09,10:00 PM,Vegas Golden Knights,San Jose Sharks
18,2025-10-09,8:00 PM,Minnesota Wild,St. Louis Blues
19,2025-10-09,7:00 PM,Ottawa Senators,Tampa Bay Lightning
20,2025-10-09,10:00 PM,Calgary Flames,Vancouver Canucks
21,2025-10-09,8:00 PM,Dallas Stars,Winnipeg Jets
22,2025-10-11,7:00 PM,Buffalo Sabres,Boston Bruins
23,2025-10-11,7:00 PM,Philadelphia Flyers,Carolina Hurricanes
24,2025-10-11,4:00 PM,St. Louis Blues,Calgary Flames
25,2025-10-11,7:00 PM,Montreal Canadiens,Chicago Blackhawks
26,2025-10-11,9:00 PM,Dallas Stars,Colorado Avalanche
27,2025-10-11,7:00 PM,Toronto Maple Leafs,Detroit Red Wings
28,2025-10-11,10:00 PM,Vancouver Canucks,Edmonton Oilers
29,2025-10-11,7:00 PM,Ottawa Senators,Florida Panthers
30,2025-10-11,8:00 PM,Columbus Blue Jackets,Minnesota Wild
31,2025-10-11,8:00 PM,Utah Mammoth,Nashville Predators
32,2025-10-11,7:00 PM,Washington Capitals,New York Islanders
33,2025-10-11,7:00 PM,New York Rangers,Pittsburgh Penguins
34,2025-10-11,10:00 PM,Vegas Golden Knights,Seattle Kraken
35,2025-10-11,10:00 PM,Anaheim Ducks,San Jose Sharks
36,2025-10-11,7:00 PM,New Jersey Devils,Tampa Bay Lightning
37,2025-10-11,1:30 PM,Los Angeles Kings,Winnipeg Jets
