Sport,Date,Matchup,Bet Type,Pick,Pick Type,Details,Confidence
NBA,2025-11-13,Detroit Pistons @ Charlotte Hornets,MONEYLINE,Detroit Pistons,AWAY_ML,Win Prob: 88.3%,77%
NBA,2025-11-13,Chicago Bulls @ San Antonio Spurs,MONEYLINE,Chicago Bulls,AWAY_ML,Win Prob: 62.2%,24%
NBA,2025-11-13,Cleveland Cavaliers @ Phoenix Suns,MONEYLINE,Cleveland Cavaliers,AWAY_ML,Win Prob: 83.8%,68%
NBA,2025-11-13,Los Angeles Lakers @ Sacramento Kings,MONEYLINE,Los Angeles Lakers,AWAY_ML,Win Prob: 59.0%,18%
NBA,2025-11-13,Detroit Pistons @ Charlotte Hornets,SPREAD,Detroit Pistons,AWAY_SPREAD,Spread: -9.6,96%
NBA,2025-11-13,Chicago Bulls @ San Antonio Spurs,SPREAD,Chicago Bulls,AWAY_SPREAD,Spread: -3.0,30%
NBA,2025-11-13,Miami Heat @ Indiana Pacers,TOTAL,Indiana Pacers,UNDER,Total: 220.0,65%
NBA,2025-11-13,Boston Celtics @ Brooklyn Nets,TOTAL,Brooklyn Nets,OVER,Total: 220.0,65%
NBA,2025-11-13,Milwaukee Bucks @ New York Knicks,TOTAL,New York Knicks,OVER,Total: 220.0,65%
NBA,2025-11-13,Memphis Grizzlies @ Minnesota Timberwolves,TOTAL,Minnesota Timberwolves,OVER,Total: 220.0,65%
NBA,2025-11-13,Los Angeles Lakers @ Sacramento Kings,TOTAL,Sacramento Kings,OVER,Total: 220.0,65%
NBA,2025-11-13,Indiana Pacers @ PHO,TOTAL,Indiana Pacers,UNDER,Total: 220.0,65%
NBA,2025-11-14,Phoenix Suns @ Cleveland Cavaliers,MONEYLINE,Cleveland Cavaliers,HOME_ML,Win Prob: 86.4%,73%
NBA,2025-11-14,New York Knicks @ Milwaukee Bucks,MONEYLINE,Milwaukee Bucks,HOME_ML,Win Prob: 63.4%,27%
NBA,2025-11-14,Golden State Warriors @ Oklahoma City Thunder,MONEYLINE,Oklahoma City Thunder,HOME_ML,Win Prob: 75.3%,51%
NBA,2025-11-14,Utah Jazz @ Los Angeles Lakers,MONEYLINE,Los Angeles Lakers,HOME_ML,Win Prob: 90.2%,80%
NBA,2025-11-14,New York Knicks @ Milwaukee Bucks,SPREAD,Milwaukee Bucks,HOME_SPREAD,Spread: +3.3,33%
NBA,2025-11-14,Utah Jazz @ Los Angeles Lakers,SPREAD,Los Angeles Lakers,HOME_SPREAD,Spread: +10.0,100%
NBA,2025-11-14,Los Angeles Lakers @ New Orleans Pelicans,SPREAD,Los Angeles Lakers,AWAY_SPREAD,Spread: -3.0,30%
NBA,2025-11-14,Boston Celtics @ Brooklyn Nets,TOTAL,Brooklyn Nets,OVER,Total: 220.0,65%
NBA,2025-11-14,New York Knicks @ Milwaukee Bucks,TOTAL,New York Knicks,OVER,Total: 220.0,65%
NBA,2025-11-14,Golden State Warriors @ Oklahoma City Thunder,TOTAL,Golden State Warriors,OVER,Total: 220.0,65%
NBA,2025-11-14,Portland Trail Blazers @ Dallas Mavericks,TOTAL,Portland Trail Blazers,OVER,Total: 220.0,65%
NBA,2025-11-14,Utah Jazz @ Los Angeles Lakers,TOTAL,Los Angeles Lakers,OVER,Total: 220.0,65%
NBA,2025-11-14,Houston Rockets @ Los Angeles Clippers,TOTAL,Houston Rockets,OVER,Total: 220.0,65%
NBA,2025-11-14,Miami Heat @ New York Knicks,TOTAL,New York Knicks,OVER,Total: 220.0,65%
NBA,2025-11-14,Brooklyn Nets @ Orlando Magic,TOTAL,Brooklyn Nets,OVER,Total: 220.0,65%
NBA,2025-11-14,Philadelphia 76ers @ Detroit Pistons,TOTAL,Philadelphia 76ers,OVER,Total: 220.0,65%
NBA,2025-11-14,Portland Trail Blazers @ Houston Rockets,TOTAL,Houston Rockets,OVER,Total: 220.0,65%
NBA,2025-11-14,Sacramento Kings @ Minnesota Timberwolves,TOTAL,Minnesota Timberwolves,OVER,Total: 220.0,65%
NBA,2025-11-14,Los Angeles Lakers @ New Orleans Pelicans,TOTAL,Los Angeles Lakers,OVER,Total: 220.0,65%
NBA,2025-11-14,Los Angeles Clippers @ Dallas Mavericks,TOTAL,Dallas Mavericks,UNDER,Total: 220.0,65%
NBA,2025-11-14,Golden State Warriors @ San Antonio Spurs,TOTAL,Golden State Warriors,OVER,Total: 220.0,65%
NBA,2025-11-15,Charlotte Hornets @ Chicago Bulls,MONEYLINE,Chicago Bulls,HOME_ML,Win Prob: 84.7%,69%
NBA,2025-11-15,Los Angeles Lakers @ San Antonio Spurs,MONEYLINE,Los Angeles Lakers,AWAY_ML,Win Prob: 69.5%,39%
